filename,rmse,nrmse_mean,nrmse_range
prediction LSTM mediana-movel - treated bbr esmond data ma-rj 07-03-2023_longest_interval.csv.csv,48.77112499052157,0.05548152944095908,0.16103437309034982
prediction GRU media-movel - treated bbr esmond data to-ba 07-07-2023_longest_interval.csv.csv,28.646284470177207,0.03008846655509293,0.17258035045992576
prediction LSTM interpolacao-linear - treated bbr esmond data to-rs 07-07-2023_longest_interval.csv.csv,61.74784646915856,0.07023438931290096,0.1373310954749077
prediction LSTM interpolacao-linear - treated bbr esmond data ro-se 07-04-2023_longest_interval.csv.csv,9.08115334409673,0.0099292400225178,0.12911809118223244
prediction bi-LSTM media-movel - treated bbr esmond data ba-go 07-03-2023_longest_interval.csv.csv,20.685299873294078,0.02384321526362878,0.20399698585182918
prediction bi-LSTM media-movel - treated bbr esmond data rj-am 07-08-2023_longest_interval.csv.csv,42.046435462974635,0.049398135207856395,0.1280717603044609
prediction GRU mediana-movel - treated bbr esmond data rj-am 07-08-2023_longest_interval.csv.csv,41.48985834236745,0.048475872826593415,0.12637644866159595
prediction GRU interpolacao-linear - treated bbr esmond data ba-pa 07-03-2023_longest_interval.csv.csv,24.78965341288923,0.0287184595693486,0.14300964346654702
prediction GRU media-movel - treated bbr esmond data pr-pa 07-08-2023_longest_interval.csv.csv,15.723053249981286,0.01717064997355201,0.1558293207020859
prediction GRU mediana-movel - treated bbr esmond data ba-go 07-03-2023_longest_interval.csv.csv,21.70492077990948,0.0249527671772114,0.2140524161784444
prediction bi-LSTM mediana-movel - treated bbr esmond data go-se 07-03-2023_longest_interval.csv.csv,13.186504271391497,0.014330786883839182,0.11860222550095607
prediction LSTM mediana-movel - treated bbr esmond data ce-ro 07-03-2023_longest_interval.csv.csv,15.808996263559342,0.01728554493820089,0.14270716102301503
prediction LSTM knn - treated bbr esmond data ce-ro 07-03-2023_longest_interval.csv.csv,13.17789082703732,0.014378358287897325,0.11895628013604966
prediction LSTM mediana-movel - treated bbr esmond data to-ba 07-07-2023_longest_interval.csv.csv,28.962970605289364,0.030420141304726898,0.1744882350318448
forecasting-values GRU svd - treated bbr esmond data ba-pe 07-03-2023_longest_interval.csv.csv,600.0006122189322,0.17869608607375384,0.18159750344768857
prediction GRU knn - treated bbr esmond data se-es 07-07-2023_longest_interval.csv.csv,11.343514306942554,0.012391508581623445,0.141226064128897
prediction bi-LSTM interpolacao-linear - treated bbr esmond data ba-pa 07-03-2023_longest_interval.csv.csv,24.315774390290862,0.028169477487002194,0.14027587107613382
forecasting-values bi-LSTM svd - treated bbr esmond data go-se 07-03-2023_longest_interval.csv.csv,10.200722156545353,0.011084348810725786,0.12027926723069672
prediction LSTM knn - treated bbr esmond data rj-go 07-08-2023_longest_interval.csv.csv,71.14353537420297,0.08023580691038583,0.15545341641956445
prediction GRU media-movel - treated bbr esmond data ba-pe 07-03-2023_longest_interval.csv.csv,630.647321962737,0.18131820263094214,0.19343170073676622
prediction GRU knn - treated bbr esmond data rj-am 07-08-2023_longest_interval.csv.csv,39.14423347943349,0.04607729304878762,0.11923176916850559
prediction LSTM knn - treated bbr esmond data to-ba 07-07-2023_longest_interval.csv.csv,28.302006483889205,0.029858618400830452,0.17050623800073136
forecasting-values bi-LSTM svd - treated bbr esmond data ce-ro 07-03-2023_longest_interval.csv.csv,13.369321803584866,0.014618734377663607,0.12068431971171421
forecasting-values GRU svd - treated bbr esmond data to-rs 07-07-2023_longest_interval.csv.csv,58.61788543117391,0.0667225913685122,0.13036986520180166
forecasting-values LSTM svd - treated bbr esmond data ro-se 07-04-2023_longest_interval.csv.csv,8.476065043963363,0.00927482754682722,0.1314183261133661
prediction GRU interpolacao-linear - treated bbr esmond data ap-ba 07-03-2023_longest_interval.csv.csv,32.972696633135754,0.0370082692230892,0.17222832275950314
prediction bi-LSTM knn - treated bbr esmond data to-ba 07-07-2023_longest_interval.csv.csv,28.41116205339853,0.029973777532680684,0.17116384881445432
forecasting-values bi-LSTM svd - treated bbr esmond data ma-rj 07-03-2023_longest_interval.csv.csv,41.79700064142687,0.04779357183041083,0.1380069415388145
prediction LSTM media-movel - treated bbr esmond data ro-se 07-04-2023_longest_interval.csv.csv,9.100233209104694,0.009952123225555921,0.12938937343642368
prediction GRU media-movel - treated bbr esmond data ce-ro 07-03-2023_longest_interval.csv.csv,15.028571219367738,0.0164354029338765,0.13566229615043837
