imputacao,link,tcp,modelo,RMSE,MAE,NRMSE
media-movel,ce-ro,bbr,GRU,15.028571028805315,9.37197385187452,0.1356622944302392
media-movel,ce-ro,bbr,LSTM,15.586967745941543,9.897665676863516,0.14070291869876192
media-movel,es-pr,bbr,bi-LSTM,14.584585025674155,8.833672808772,0.13042921371343202
media-movel,es-pr,bbr,GRU,14.18333019498626,8.836866523920497,0.12684081185124607
media-movel,es-pr,bbr,LSTM,14.592305596243056,9.154217742005605,0.13049825838950255
media-movel,go-se,bbr,bi-LSTM,13.011232221355614,7.890379769950374,0.11702579138509478
media-movel,go-se,bbr,GRU,12.693272788621567,7.7121886452512305,0.11416599658541508
media-movel,go-se,bbr,LSTM,13.246803351249605,8.399404062836014,0.11914456825682546
media-movel,ma-rj,bbr,bi-LSTM,46.900691495475705,29.95960584498468,0.15485850395998962
media-movel,ma-rj,bbr,GRU,46.80239836188764,30.097260955329308,0.15453395591748464
media-movel,ma-rj,bbr,LSTM,48.445704357970556,31.748776201589287,0.15995988675107223
media-movel,pb-ac,bbr,bi-LSTM,41.43935808788421,31.927368436640272,0.16760283204916127
media-movel,pb-ac,bbr,GRU,45.25790640984098,38.25105727414577,0.18304707497684422
media-movel,pb-ac,bbr,LSTM,47.94722235003665,41.22753465060374,0.19392410079601421
media-movel,pb-es,bbr,bi-LSTM,29.962464898016766,16.80158689738701,0.13143545028266174
media-movel,pb-es,bbr,GRU,29.691823376067433,16.608520439530494,0.13024823519793252
media-movel,pb-es,bbr,LSTM,29.937166732688162,16.855191364651535,0.1313244755760544
media-movel,pr-pa,bbr,bi-LSTM,15.96413382656824,8.398975279454184,0.15821864177648073
media-movel,pr-pa,bbr,GRU,15.723054722279807,8.248946944791022,0.15582933529386236
media-movel,pr-pa,bbr,LSTM,16.260678987482475,8.742329150270853,0.16115766578460783
media-movel,rj-am,bbr,bi-LSTM,42.046434219703436,21.77912884089679,0.12807175651750657
media-movel,rj-am,bbr,GRU,41.219657741463365,21.233793375887984,0.12555342844092632
media-movel,rj-am,bbr,LSTM,42.66069258361586,23.42660801697799,0.12994276291987514
media-movel,rj-go,bbr,bi-LSTM,69.35532719184937,36.220912588019395,0.1515460611025403
media-movel,rj-go,bbr,GRU,71.48557477391002,36.45854519548283,0.1562007955448059
media-movel,rj-go,bbr,LSTM,74.86623480294931,39.74522948713957,0.1635877654009284
media-movel,ro-se,bbr,bi-LSTM,8.94904134933442,5.706618387669626,0.12723969006514577
media-movel,ro-se,bbr,GRU,8.806985554407209,5.580708177474862,0.12521990553036533
media-movel,ro-se,bbr,LSTM,9.10023332302164,5.892716392153559,0.12938937505612308
media-movel,rs-go,bbr,bi-LSTM,14.708367277603685,8.604979461581992,0.12134118522647805
media-movel,rs-go,bbr,GRU,14.413458492711314,8.493961170079896,0.11890824479079627
media-movel,rs-go,bbr,LSTM,15.37841754233075,9.119535569805421,0.12686897031293692
media-movel,rs-pe,bbr,bi-LSTM,495.6048500395357,361.935807987804,0.18949505592107863
media-movel,rs-pe,bbr,GRU,503.30808181964545,367.97698708476844,0.19244039500891943
media-movel,rs-pe,bbr,LSTM,512.894883526289,375.0878347013472,0.19610591911619926
media-movel,se-es,bbr,bi-LSTM,11.642954884771767,7.681363330715772,0.14495408113518052
media-movel,se-es,bbr,GRU,11.505702480928036,7.922865481766611,0.14324529704388558
media-movel,se-es,bbr,LSTM,11.687680206919458,8.069348406392493,0.14551090867935257
media-movel,to-ba,bbr,bi-LSTM,28.43095853313946,19.959982427858538,0.1712831132661887
media-movel,to-ba,bbr,GRU,28.646284513096393,21.618478237855232,0.1725803507184936
media-movel,to-ba,bbr,LSTM,28.98070763177432,21.05669429127733,0.1745950922492294
media-movel,to-rs,bbr,bi-LSTM,58.94366609014527,32.38492981555722,0.13109442188416986
media-movel,to-rs,bbr,GRU,57.8690332874742,30.917884571994282,0.12870437091943215
media-movel,to-rs,bbr,LSTM,59.50732992486351,32.70466061622844,0.13234804571605696
mediana-movel,ap-ba,bbr,bi-LSTM,35.866984205292944,22.82085435483606,0.18734623379003015
mediana-movel,ap-ba,bbr,GRU,35.22163634320515,22.527122044069113,0.1839753484444829
mediana-movel,ap-ba,bbr,LSTM,37.10724327837868,24.03295796366088,0.1938245556064553
mediana-movel,ba-go,bbr,bi-LSTM,21.84378462067705,16.36432949790017,0.21542188169907556
mediana-movel,ba-go,bbr,GRU,21.704921913991473,16.426936949264608,0.21405242736268199
mediana-movel,ba-go,bbr,LSTM,22.660435396857363,17.432461127879264,0.22347563474374008
mediana-movel,ba-pa,bbr,bi-LSTM,29.616192688464917,17.955844749862457,0.170853585028815
mediana-movel,ba-pa,bbr,GRU,29.542974731890176,18.314091557135786,0.17043119615186286
mediana-movel,ba-pa,bbr,LSTM,31.372527268571393,19.68422367190251,0.18098574694030017
mediana-movel,ba-pe,bbr,bi-LSTM,614.8032161589639,452.78787982416384,0.18857200780611394
mediana-movel,ba-pe,bbr,GRU,636.0026288069124,472.46179497480193,0.19507427666591176
mediana-movel,ba-pe,bbr,LSTM,663.8422950046711,494.7598587602333,0.20361323939997458
mediana-movel,ce-am,bbr,bi-LSTM,90.77366580959794,51.67475271761297,0.13530473570240964
mediana-movel,ce-am,bbr,GRU,92.46113234443135,55.96414528985109,0.13782002702028162
mediana-movel,ce-am,bbr,LSTM,97.34301505492138,59.88666606345365,0.14509682744452068
mediana-movel,ce-ro,bbr,bi-LSTM,15.157080791452191,9.461843533386512,0.13682234678810773
mediana-movel,ce-ro,bbr,GRU,15.083932484040279,9.38754944128704,0.1361620400165479
mediana-movel,ce-ro,bbr,LSTM,15.808996620034963,10.102269787430307,0.14270716424090582
mediana-movel,es-pr,bbr,bi-LSTM,14.537162762211985,8.861069568770322,0.1300051187854657
mediana-movel,es-pr,bbr,GRU,14.128321671384379,8.855605895953392,0.12634887337865325
mediana-movel,es-pr,bbr,LSTM,14.608553373186057,9.138873303921034,0.13064356144526562
mediana-movel,go-se,bbr,bi-LSTM,13.18650354218937,8.114550346243366,0.11860221894235685
mediana-movel,go-se,bbr,GRU,12.982476243035428,8.025920751717656,0.11676715399681967
mediana-movel,go-se,bbr,LSTM,13.28805751161868,8.529200934507998,0.11951561695405757
mediana-movel,ma-rj,bbr,bi-LSTM,47.23156449722624,30.507454239306302,0.15595099314123723
mediana-movel,ma-rj,bbr,GRU,47.075364309862245,30.566415251329794,0.15543524536519876
mediana-movel,ma-rj,bbr,LSTM,48.77112465045962,32.28125002889517,0.16103437196752027
mediana-movel,pb-ac,bbr,bi-LSTM,39.07267648036406,28.7905695075099,0.1580307112856639
mediana-movel,pb-ac,bbr,GRU,46.99975664566727,41.30708861069541,0.19009204492813653
mediana-movel,pb-ac,bbr,LSTM,46.51984038226464,40.170042352195196,0.1881510079863445
mediana-movel,pb-es,bbr,bi-LSTM,29.897277373514004,16.793727124715726,0.13114949411500346
mediana-movel,pb-es,bbr,GRU,29.156165319787746,16.330611426193865,0.12789847999373646
mediana-movel,pb-es,bbr,LSTM,30.17874847859427,17.078796473582365,0.1323842150087518
mediana-movel,pr-pa,bbr,bi-LSTM,16.1795476298275,8.656144967383273,0.1603535824968388
mediana-movel,pr-pa,bbr,GRU,15.754882745371466,8.39468310493314,0.1561447790654256
mediana-movel,pr-pa,bbr,LSTM,16.489515861741992,9.031451177268025,0.16342564097368198
